ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,order,If the nested function is passed as an argument to a higher-order function a closure needs to be built in order to locate the non-local variables.,This 'part night' option was widely adopted in the United Kingdom for street lighting in the 1970s and 1980s in order to conserve energy.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:12:46 UTC
ANONYMIZED,room,This was found along with the key to HAL's Brain Room.,A humidifier is a device that increases humidity (moisture) in a single room or an entire building.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:12:10 UTC
ANONYMIZED,order,The lexicographic method assumes that the objectives can be ranked in the order of importance.,They chose the pyramidal shape with an angle of 136Â° between opposite faces in order to obtain hardness numbers that would be as close as possible to Brinell hardness numbers for the specimen.,ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:16:43 UTC
ANONYMIZED,disk,"Creatures: The Albian Years
Creatures 1 and Creatures 2 on one disk, updated to run on Windows XP.",The #6-32 UNC screws are often found on hard disk drives and the case's body to secure the covers.,ANONYMIZED,Exactly the same,ANONYMIZED,Exactly the same,Yes,Exactly the same,2018-10-11 09:16:13 UTC
ANONYMIZED,option,Mosaic and browsers derived from it had a user option to automatically display images inline or to show an icon for opening in external programs.,"In digital, medium format is a very expensive option, with typical brand new all-digital medium-format cameras retailing for $10,000 (Mamiya ZD) to $32,000 (Hasselblad H3D) in 2008.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:17:59 UTC
ANONYMIZED,report,"Strava allows users to report issues with the maps, which are linked the OpenStreetMap editor so that users can contribute improvements to the map.","Report to the National Science Foundation, IRIS consortium.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:08:33 UTC
ANONYMIZED,year,"Cadbury, with a 30% reduction of energy costs
The City of Boston, with a 44% reduction in PC power consumption, saving between $24,000 and $72,000 per year.","Peter Timotheatos, Aveos Chief Financial Officer, stated, ""We presented our plans to various lenders over a year ago and we are very pleased with the outcome today.",ANONYMIZED,Exactly the same,ANONYMIZED,Exactly the same,Yes,Exactly the same,2018-10-11 09:14:19 UTC
ANONYMIZED,film,"(25C3 Video Recording)
Joseph Weizenbaum, Famed Programmer, Is Dead at 85, New York Times
Plug & Pray, Documentary Film on Joseph Weizenbaum and the ethics of technology","Interviews with scientists, archival film, and contemporary footage, as well as slow-motion sequences, are used in the film.",ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:18:28 UTC
ANONYMIZED,phase,Adaptive sampling exploits this property to simulate the protein's phase space in between these states.,"(1987) introduced recurrence plots, which provide a way to visualize the periodic nature of a trajectory through a phase space.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:19:20 UTC
ANONYMIZED,reduction,"Her research takes a statistical approach to kernel methods, dimensionality reduction, and regularization in machine learning.",A reduction drive is a mechanical device to shift rotational speed.,ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:00:35 UTC
ANONYMIZED,year,"That same year, Douglas Engelbart also completed work on a hypertext system called NLS (oN-Line System).","Conventional techniques typically replace half a bridge at a time, with all highway traffic crammed into the other bridge half, often for a year or more, while construction progresses.",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:13:58 UTC
ANONYMIZED,film,A cover of Rundgren's version is also used in the 2003 film Camp as the cast is introduced at the end of the film.,"The Galilei number is used in viscous flow and thermal expansion calculations, for example to describe fluid film flow over walls.",ANONYMIZED,Extremely different,ANONYMIZED,Extremely different,Yes,Extremely different,2018-10-11 09:00:45 UTC
ANONYMIZED,phase,"Java applet, includes phase space and parameters can be changed at any time.",It is believed that the phase transition between the hexagonal (ice Ih) and orthorhombic (ice XI) phases of ice is enabled by proton tunneling.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:19:39 UTC
ANONYMIZED,argument,It specifies that the argument must be greater than or equal to zero and less than or equal to 23.,A more conceptual argument was provided by Julian Schwinger in 1950.,ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:01:26 UTC
ANONYMIZED,distance,SSAP works by first constructing a series of inter-residue distance vectors between each residue and its nearest non-contiguous neighbors on each protein.,"Additionally, the blades are placed a considerable distance in front of the tower and are sometimes tilted forward into the wind a small amount.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-11 09:05:59 UTC
ANONYMIZED,house,"(White House quote)
A Ukrainian professor of International Law, Alexander Merezhko, has developed a project called the International Convention on Prohibition of Cyberwar in Internet.","A working example of this type of accumulator may be found at the hydraulic engine house, Bristol Harbour.",ANONYMIZED,Extremely different,ANONYMIZED,Extremely different,Yes,Extremely different,2018-10-11 09:17:41 UTC
ANONYMIZED,bar,The bar mitzvah attack is an attack on the SSL/TLS protocols that exploits the use of the RC4 cipher with weak keys for that cipher.,"Masjid al-Haram#Current expansion project, Mecca, Saudi Arabia : has more than 600 sensors ( Concrete pressure cell, Embedment type strain gauge, Sister bar strain gauge, etc.)",ANONYMIZED,Extremely different,ANONYMIZED,Extremely different,Yes,Extremely different,2018-10-11 09:19:01 UTC
ANONYMIZED,expression,MC-Ed is a native Windows software to perform uncertainty calculations according to the Supplement 1 to the Guide to the expression of uncertainty in measurement using Monte-Carlo method.,"(4)-(7) is approximated with the expression,

Starting from Eq.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:27:59 UTC
ANONYMIZED,reduction,"Also in this category are more modern areas of study such as dimensionality reduction, projection pursuit, and independent component analysis.","The jacking gear rotates the shaft or rotor and associated machinery (such as reduction gears and main turbines), to ensure uniform cool-down.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:09:42 UTC
ANONYMIZED,link,"Evidence, if more were needed, of the link between social and environmental global change came with the 2008-2009 global financial crisis.",The 8020/9020 tractors got features like Independent Link Suspension and ActiveSeat to give the farmer a more comfortable and productive day in the field.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:10:54 UTC
ANONYMIZED,report,"Technical Report, Secure Networks, Inc., January 1998.",Some historians report the surviving rifles were apparently put in storage in New York.,ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:04:20 UTC
ANONYMIZED,hull,"If T consists of a single connected component, then it covers exactly its convex hull, and this algorithm is sufficient.",Damage may occur in the form of dished hull plating or even more serious holing of the hull.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:15:07 UTC
ANONYMIZED,bar,The size of any selected item(s) is not shown on the status bar but is shown in the details pane just above the status bar.,Many also have in-built bar code scanners to allow identification of containers.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:10:15 UTC
ANONYMIZED,room,Finding room for the KY-28 in fighter aircraft was difficult.,"In naval architecture, stowage is the amount of room available for stowing materials aboard a ship, tank or an airplane.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:08:41 UTC
ANONYMIZED,disk,"Additionally, if K is (the interior of) a curve of constant width, then the Minkowski sum of K and of its 180Â° rotation is a disk.","The assembly of the hub, disk and blades is known as the fan wheel, and often includes other components with aerodynamic or structural functions.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 10:02:17 UTC
ANONYMIZED,customer,"by, for example, impersonating a bank, a contractor, or a customer.","1902 â€“ A third brother, J. Ronald Taylor opens a branch in New York, with the principal customer being the Eastman Kodak Company.",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:13:07 UTC
ANONYMIZED,report,"""The genealogy of theoretical computer science: a preliminary report"".","These systems are much more advanced than the mechanical time clock: various reports can be generated, including on compliance with the European Working Time Directive, and a Bradford factor report.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:13:22 UTC
ANONYMIZED,customer,"by, for example, impersonating a bank, a contractor, or a customer.","HASA is a form of HASS â€“ a powerful testing tool for improving product reliability, reducing warranty costs and increasing customer satisfaction.",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:15:46 UTC
ANONYMIZED,bar,"Maximization can be accomplished using the afore-mentioned window snapping, or by double-clicking the window title bar.","It consists of a steel bar running on at a roughly 45Â° angle from the center of the door to the floor, on the inside of the area to be secured.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:06:17 UTC
ANONYMIZED,option,"with the option of using WorkXPlore 3D
Advanced planning and scheduling systems (Ortems and Preactor)
CRM software (Sage Vente Partner, etc.)",It specifies either a pre-qualification option (chapter 3) or a qualification option (chapter 4) for approval of welding processes.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-11 09:28:04 UTC
ANONYMIZED,house,"Metallica used a talk box during the solo on ""The House Jack Built"", from the 1996 album Load.","In 1835 Macneill gave evidence to the House of Common on the relative advantages of the telegraph, elliptical and other springs as regards the draught of carriages.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:06:06 UTC
ANONYMIZED,link,which is now a dead link since this base closed in 2011.,"CS1 maint: Multiple names: authors list (link)
C. Tannoudji, B.Diu, F.LaloÃ« (1977).",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:02:49 UTC
ANONYMIZED,expression,"Modern devices are being experimented with, that may potentially allow that computer related device to respond to and understand an individuals hand gesture, specific movement or facial expression.",This expression can be further integrated to obtain the position r of the particle as a function of time.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:03:00 UTC
ANONYMIZED,transfer,"Topics covered include knowledge assets and management, new product introduction and transfer of technology.","January 29, 2009 â€“ Isuzu and General Motors announce that they are in talks to transfer the operation of the medium-duty truck production line in Flint, Michigan to Isuzu for a five-year period.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:04:06 UTC
ANONYMIZED,customer,"Among other things, the suite is designed to help ""enterprise class marketers"" ""see the complete customer journey"", generate ""useful insights"", and ""deliver engaging experiences to the right people"".","Some of the vehicles will be evaluated ""in typical customer settings"", according to Ford.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:03:16 UTC
ANONYMIZED,hull,"Initially, the set of known edges is initialized to the convex hull of the input, and all remaining pairs of vertices form candidate edges.","The US Fleet submarines of World War II had a hull section that was not quite circular, causing the nodal circle to separate from the neutral plane, giving rise to additional stresses.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:02:33 UTC
ANONYMIZED,interpretation,The methods for describing the potential energy are broken down into a classical mechanics interpretation (molecular mechanics) and a quantum mechanical interpretation.,"SEG's newest publication, Interpretation, launched in August 2013, is a peer-reviewed journal co-published by SEG and AAPG for advancing the practice of subsurface interpretation.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:27:55 UTC
ANONYMIZED,distance,His collaboration distance to other HCI researchers has been described by the Grudin number.,"That is, that particular servo model rotates the shaft with the angular speed of (2Ï€ / 6) / 0.2 s = 5.2 rad/s while producing 2 kg Ã— 9.81 m/s2 = 19.6 N force at 1 cm distance, i.e.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:03:37 UTC
