matrix,(2007) constructed a connection matrix from fiber densities measured between homogeneously distributed and equal-sized regions of interest (ROIs) numbering between 500 and 4000.,Massachusetts Institute of Technology has developed a 10-minute Ebola test using Matrix Multiplexed Diagnostic (MMDx) technology.,3
class,"As of 2016, vision processing units are emerging as a new class of processor, to complement CPUs and Graphics processing units (GPUs) in this role.",Medical conditions recognized in refugees are categorized as Class A or Class B and are described below.,3
house,"""Cozy Bear"" has in the past year infiltrated unclassified computer systems of the White House, the U.S. State Department, and the U.S. Joint Chiefs of Staff.",In 1969 the foundation attracted attention of the U.S. House Ways and Means Committee during hearings about the tax treatment of foundations with substantial financial links to corporations.,2
transfer,Look-ahead pipelining will add canceling poles and zeroes to the transfer function such that the coefficients of the following terms in the denominator of the transfer function are zero.,In functional terms it is the spatial domain version of the transfer function of the imaging system.,1
matter,"""The ultimate display would, of course, be a room within which the computer can control the existence of matter.",Genetic relation to the child (in case of donation) does not matter.,4
location,"The conference is organised in cooperation with universities, each year in a different location.","The tissue elasticity at specified location can be estimated on the basis of spatial gradients within P(x,y,z).",3
matter,"For the same reason, it does not matter whether duplicate literals are allowed in clauses (like e.g.","In complete markets, there is no compensation for idiosyncratic risk—that is, a security's idiosyncratic risk does not matter for its price.",1
word,The algorithm improves upon earlier topic models such as latent Dirichlet allocation (LDA) by modeling correlations between topics in addition to the word correlations which constitute topics.,"The word coroner derives from the same source as the word crown, and denotes an officer of The Crown.",1
government,"Enterprise and government
The TEE can be used by governments and enterprises to enable the secure handling of confidential information on a mobile device.",The ever increasing cost of chronic disease will require government and society to make decisions on the cost-effectiveness of the available health care options.,1
government,"The program prepares graduates for professional and research careers in industry, government or academe.","On February 2, 2006, Boston Medical Center received regulatory approval from the federal government to fund construction of a biosafety laboratory on its medical campus in Boston.",1
success,"Post was searching for more than a definition: ""The success of the above program would, for us, change this hypothesis not so much to a definition or to an axiom but to a natural law.","Their steadfast dedication, invaluable expertise and guidance in strategic planning was critical to the organization’s success.",1
speech,"
== Open source acoustic models and speech corpus (compilation) ==
The following list presents notable speech recognition software engines with a brief synopsis of characteristics.",The operculum includes cortical regions concerned with the perception of spoken language and with motor functions required for competent speech.,1
government,Capstone is the name of a United States government long-term project to develop cryptography standards for public and government use.,"U.S. Congress, Office of Technology Assessment, Neurotoxicity: Identifying and Controlling Poisons of the Nervous System, OTA-BA-436 (Washington, DC: U.S. Government Printing Office, April 1990).",1
argument,This follows from a straightforward Euler characteristic argument.,"In The Blind Watchmaker (1986), he argues against the watchmaker analogy, an argument for the existence of a supernatural creator based upon the complexity of living organisms.",2
location,Discrete and fractional programming techniques for location models.,"Hospitals and clinics that used to be familiar as ""St. John's Regional Health Center"" are now named ""Mercy Hospital Springfield"" (Mercy - entity - location).",3
mouse,"If the cursor is placed outside the Ghostzilla window, Ghostzilla hides itself and can be viewed again by a mouse gesture.","First, exposure to HZE nuclei at low doses (<50 cGy) significantly induces neurocognitive deficits, such as learning and behavioral changes as well as operant reactions in the mouse and rat.",4
editor,He has been an associate editor of the ACM Transactions on Graphics.,"One article was written by the Journal's then-current editor in chief, Jeffrey M. Drazen, M.D.",1
argument,"For sake of argument, say the triggered oscillator has a period that is 1 ns faster than the clock.","After ten days of argument, the judge eventually found for de la Warr, but considered the box to be bogus.",4
success,The ultimate measure of success is however the ability to make testable predictions.,"The operation was a success; however, Nix died three years later in 1963.",1
mouse,"It also allows a hook to insert, remove, process or modify keyboard and mouse events.","In early attempts to return some degree of control to these patients, researchers used cortical signals obtained with electroencephalography (EEG) to drive a mouse cursor.",1
matter,"The Electronic Frontier Foundation's attorney Hanni Fakhoury commented in early 2014 that while Whisper may have no legal choice in the matter, ""it’s the doublespeak that’s problematic.""","No matter, she is interesting enough without an amicable agreement.",2
matrix,"Now for the scaled workload suppose is possible to factorize a 320,000-by-320,000 matrix in 32 hours.","In addition, crosslinking of collagen and the extracellular matrix was affected.",4
relation,Each relation can have a single clustered index and many unclustered indices.,"(February 1847), Memorial of Miss D. L. Dix in Relation to the Illinois Penitentiary, retrieved 12 November 2010 
.",4
success,"So an application success might vary, depending on how it caters to individual cognitive style.","The presentation of symptoms is usually months or years and commonly patients consult different doctors, without great success, and doing various specialized investigations.",1
matrix,"In the same paper he also presented an asymptotically fast algorithm to perform matrix inversion, based on the fast matrix multiplication algorithm.","The ologen collagen matrix facilitates tissue regeneration and its application over the site of device implantation can strengthen tissue recovery, reducing possibility of erosion.",4
strength,"tawkon uses an algorithm that takes into account network, signal strength, phone model, and other data, to predict this boost and alerts the user when there is a spike in RF output.","More unprotonated nicotine in tobacco smoke increases smoke ""strength"", ""impact"", or ""kick"".",3
class,"Online complex processing (OLCP) is a class of realtime data processing involving complex queries, lengthy queries and/or simultaneous reads and writes to the same records.","Upper and middle class women, well-represented in the latter category, were particularly susceptible to chloral hydrate addiction.",4
